ID;Street;AdmArea;District;SpeedLimit;TransportLimit;TimeLimit;RoadConditionsLimit;CommissioningDate;AreaCoordinates;global_id;geodata_center;geoarea
17;улица Габричевского;Северо-Западный административный округ;район Покровское-Стрешнево;40;нет;нет;нет;;"55.813843,37.45693; 55.811831,37.455247";1133017501;;
18;Полесский проезд;Северо-Западный административный округ;район Покровское-Стрешнево;40;нет;нет;нет;;"55.811819,37.455251; 55.811545,37.455998; 55.811515,37.456229; 55.811505,37.45646; 55.811519,37.45828955";1133017502;;
19;проезд без названия;Северо-Западный административный округ;район Хорошёво-Мнёвники;40;нет;нет;нет;;"55.771802,37.494643; 55.770343,37.493875; 55.770254,37.493802; 55.770063,37.493574; 55.769925,37.493466; 55.768633,37.49272";1133017503;;
21;Карамышевский проезд;Северо-Западный административный округ;район Хорошёво-Мнёвники;20;нет;нет;нет;;"55.776467,37.458433; 55.776417,37.45855; 55.776258,37.458806; 55.776229,37.458928; 55.775323,37.465191; 55.77529,37.465318; 55.77515,37.46557; 55.7751,37.465732; 55.774925,37.466815";1133017505;;
23;Новогорская улица;Северо-Западный административный округ;район Куркино;20;нет;нет;нет;;"55.888833,37.382803; 55.889488,37.380951; 55.889943,37.381133; 55.891279,37.381318; 55.89209,37.381475; 55.892389,37.381632; 55.892675,37.381817; 55.893011,37.382154";1133017507;;
24;4-я Магистральная улица;Северный административный округ;Хорошёвский район;40;нет;нет;нет;;"55.777725,37.522741; 55.776605,37.521804";1133017508;;
25;Петровско-Разумовская аллея;Северный административный округ;район Аэропорт;40;нет;нет;нет;;"55.792996,37.561619; 55.792432,37.563133; 55.792191,37.563931; 55.792161,37.564042; 55.79177,37.565523";1133017509;;
26;проезд без названия;Северный административный округ;район Ховрино;40;нет;нет;нет;;"55.86716,37.511757; 55.86712,37.51184; 55.867075,37.511919; 55.867027,37.511988; 55.866972,37.512045; 55.86693,37.512091; 55.866877,37.512126; 55.866823,37.512151; 55.866734,37.512174; 55.866664,37.512165; 55.866592,37.512135; 55.866495,37.512061; 55.866404,37.51197; 55.865634,37.51108; 55.865521,37.51097; 55.865185,37.510675; 55.864838,37.510365; 55.864574,37.510088";1133017510;;
28;4-й Новомихалковский проезд;Северный административный округ;район Коптево;40;нет;нет;нет;;"55.843979,37.54279; 55.844725,37.542285";1133017512;;
29;проезд без названия;Северный административный округ;район Западное Дегунино;40;нет;нет;нет;;"55.882514,37.483342; 55.883061,37.48303; 55.883368,37.482874; 55.883563,37.4828; 55.883705,37.482755; 55.883876,37.482717";1133017513;;
30;Михалковская улица;Северный административный округ;район Коптево;40;нет;нет;нет;;"55.83657,37.538328; 55.838156,37.532409";1133017514;;
31;Башиловская улица;Северный административный округ;Савёловский район;40;нет;нет;нет;;"55.793567,37.577038; 55.794938,37.57673";1133017515;;
32;улица Прянишникова;Северный административный округ;Тимирязевский район;40;нет;нет;нет;;"55.834925,37.544465; 55.835430,37.542568";1133017516;;
34;проезд Черепановых;Северный административный округ;район Коптево;50;нет;нет;нет;;"55.845128,37.544427; 55.844739,37.542291";1133017518;;
35;Бутырская улица;Северный административный округ;Савёловский район;30;нет;нет;нет;;"55.793543,37.584564; 55.793395,37.584585; 55.793288,37.584585; 55.793037,37.584523; 55.792909,37.584522; 55.792656,37.584568; 55.792583,37.584556; 55.792533,37.584519; 55.792512,37.584479";1133017519;;
36;Бутырская улица;Северный административный округ;Савёловский район;50;нет;нет;нет;;"55.794191,37.584295; 55.793867,37.584455; 55.79372,37.584506; 55.793543,37.584564";1133017520;;
37;Фестивальная улица;Северный административный округ;Головинский район;40;нет;нет;нет;;"55.866274,37.512887; 55.866336,37.513032; 55.866363,37.513195; 55.866361,37.513339";1133017521;;
38;Лихоборская набережная;Северный административный округ;Головинский район;40;нет;нет;нет;;"55.85259,37.518682; 55.852995,37.523134; 55.85309,37.525681; 55.853249,37.527998; 55.853244,37.528108; 55.853232,37.528205; 55.852959,37.529837";1133017522;;
39;Михалковская улица;Северный административный округ;[Головинский район, район Коптево];40;нет;нет;нет;;"55.841226,37.518639; 55.841316,37.518977; 55.841344,37.519124; 55.841356,37.519286; 55.841355,37.519446; 55.841329,37.519765; 55.841218,37.520595; 55.84121,37.520749; 55.841219,37.520885; 55.841247,37.521003; 55.841711,37.522337";1133017523;;
40;улица Авиаконструктора Микояна;Северный административный округ;Хорошёвский район;40;нет;нет;нет;;"55.792053,37.526509; 55.792015,37.526503; 55.791971,37.526517; 55.791789,37.526622; 55.791746,37.526653; 55.791714,37.526701; 55.79169,37.526767; 55.791444,37.52897; 55.791075,37.533308; 55.791034,37.533676; 55.790956,37.534218; 55.790838,37.534858; 55.790723,37.535363";1133017524;;
41;Ленинградское шоссе;Северный административный округ;Войковский район;30;нет;нет;нет;;"55.826668,37.491739; 55.826946,37.491666; 55.827,37.491672; 55.827049,37.491714; 55.827074,37.491769; 55.827091,37.491836; 55.827091,37.491906; 55.827079,37.491983; 55.82704,37.492078; 55.826991,37.492145; 55.826555,37.49244; 55.82503,37.493628";1133017525;;
42;улица Маршала Федоренко;Северный административный округ;район Западное Дегунино;40;нет;нет;нет;;"55.878796,37.493871; 55.87868,37.494118; 55.878609,37.4943; 55.878542,37.49449; 55.878494,37.494706; 55.878461,37.49493; 55.878451,37.495158; 55.878457,37.495375; 55.878485,37.495598; 55.878561,37.495982; 55.878629,37.496222; 55.878714,37.496404; 55.878843,37.496613; 55.879019,37.496813; 55.879171,37.496948; 55.879274,37.49702; 55.879403,37.49708; 55.879542,37.497109; 55.879677,37.497109; 55.879811,37.497077; 55.879942,37.497013; 55.880332,37.496777";1133017526;;
45;улица Амундсена;Северо-Восточный административный округ;район Свиблово;40;нет;нет;нет;;"55.853319,37.656501; 55.855883,37.654857";1133017529;;
46;улица Советской Армии;Центральный административный округ;Мещанский район;40;нет;нет;нет;;"55.784017,37.615506; 55.784816,37.615952; 55.786174,37.616756; 55.786313,37.616807; 55.78642,37.616832; 55.786572,37.616836; 55.787224,37.616793#55.788587,37.616622; 55.79128,37.616417";1133017530;;
48;Минаевский проезд;Северо-Восточный административный округ;район Марьина Роща;40;нет;нет;нет;;"55.791151,37.603874; 55.791105,37.603578; 55.790877,37.600413; 55.79084,37.600105; 55.790784,37.599823";1133017532;;
49;Мурманский проезд;Северо-Восточный административный округ;Останкинский район;40;нет;нет;нет;;"55.807305,37.621223; 55.802174,37.630716";1133017533;;
50;Калибровская улица;Северо-Восточный административный округ;Останкинский район;40;нет;нет;нет;;"55.81109,37.619577; 55.80984,37.621004; 55.809669,37.621164; 55.809077,37.621679; 55.808143,37.622468; 55.807369,37.621145";1133017534;;
51;улица Декабристов;Северо-Восточный административный округ;район Отрадное;40;нет;нет;нет;;"55.869139,37.58909; 55.867095,37.595516#55.86516,37.601614; 55.865015,37.601973; 55.864842,37.602496; 55.863948,37.605314";1133017535;;
52;7-я Парковая улица;Восточный административный округ;район Северное Измайлово;40;нет;нет;нет;;"55.80312,37.79601; 55.806542,37.795843";1133017536;;
53;Западная улица;Восточный административный округ;район Восточный;40;нет;нет;нет;;"55.815843,37.861209; 55.816865,37.8594#55.817524,37.859771; 55.818744,37.858787";1133017537;;
55;Лечебная улица;Восточный административный округ;район Соколиная Гора;40;нет;нет;нет;;"55.790199,37.735855; 55.790059,37.732851";1133017539;;
56;улица Молостовых;Восточный административный округ;район Ивановское;40;нет;нет;нет;;"55.766704,37.832672; 55.764871,37.832572";1133017540;;
58;Сапёрный проезд;Восточный административный округ;район Новогиреево;40;нет;нет;нет;;"55.757348,37.819593; 55.756402,37.826281";1133017542;;
59;Большая Тихоновская улица;Восточный административный округ;район Сокольники;40;нет;нет;нет;;"55.803115,37.684721; 55.805233,37.687071";1133017543;;
60;Нижняя Первомайская улица;Восточный административный округ;район Восточное Измайлово;40;нет;нет;нет;;"55.791116,37.799656; 55.791221,37.805608";1133017544;;
62;Яузская аллея;Восточный административный округ;район Богородское;40;нет;нет;нет;;"55.830055,37.673375; 55.830058,37.67353; 55.83033,37.678424; 55.830857,37.696325; 55.830848,37.696451; 55.83083,37.696649; 55.830785,37.696842; 55.829302,37.701132";1133017546;;
63;1-й Капотнинский проезд;Юго-Восточный административный округ;район Капотня;40;нет;нет;нет;;"55.633039,37.804279; 55.633057,37.804248; 55.633424,37.803512; 55.633449,37.803455; 55.633461,37.803403; 55.633707,37.802321; 55.633728,37.802208; 55.633736,37.802077; 55.633747,37.798228; 55.633769,37.797892; 55.633811,37.797599; 55.633878,37.797339; 55.633955,37.797128; 55.634048,37.796936; 55.634079,37.796899; 55.63673,37.793756; 55.636781,37.793716; 55.636866,37.793688; 55.639049,37.793171; 55.639099,37.793166; 55.639667,37.793213; 55.639745,37.793228; 55.639818,37.793259; 55.639868,37.793291; 55.641225,37.794153; 55.642274,37.794821";1133017547;;
64;улица Перерва;Юго-Восточный административный округ;район Марьино;40;нет;нет;нет;;"55.657286,37.744804; 55.658626,37.748335";1133017548;;
65;Мячковский бульвар;Юго-Восточный административный округ;район Марьино;40;нет;нет;нет;;"55.654234,37.757017; 55.656123,37.754752#55.656907,37.75381; 55.659031,37.751263; 55.659082,37.751226";1133017549;;
66;Самаркандский бульвар;Юго-Восточный административный округ;район Выхино-Жулебино;40;нет;нет;нет;;"55.695363,37.812114; 55.697616,37.816354; 55.701829,37.824262#55.702577,37.822191; 55.702543,37.822157; 55.702503,37.822121; 55.702469,37.822092; 55.70245,37.822073; 55.702412,37.822031; 55.702367,37.821962; 55.700128,37.817759; 55.698832,37.81532#55.698728,37.815126; 55.697071,37.812011";1133017550;;
67;Шоссейная улица;Юго-Восточный административный округ;район Печатники;40;нет;нет;нет;;"55.692628,37.728167; 55.691558,37.727654; 55.691449,37.727589; 55.691422,37.727565; 55.691135,37.727334; 55.690126,37.726525; 55.689183,37.725766; 55.686588,37.723676; 55.686469,37.723603; 55.686359,37.723573; 55.68624,37.723566; 55.686023,37.723619; 55.685191,37.72382; 55.683953,37.724162; 55.683703,37.724203; 55.683454,37.724224; 55.682663,37.724233; 55.680839,37.724254; 55.680577,37.724248; 55.680354,37.724213; 55.680068,37.724112; 55.67859,37.723617; 55.677414,37.723223#55.676919,37.723105; 55.676422,37.722991; 55.676238,37.722971; 55.676084,37.722971; 55.675928,37.722988; 55.675282,37.723213; 55.675186,37.72323; 55.67509,37.72321; 55.673967,37.722952; 55.673889,37.722921; 55.673848,37.72289; 55.670385,37.720455; 55.670361,37.720439; 55.670292,37.720401; 55.670242,37.720373; 55.670118,37.720331; 55.669888,37.720286; 55.669817,37.720271#55.669024,37.720242; 55.66661,37.720175";1133017551;;
68;улица Головачёва;Юго-Восточный административный округ;район Люблино;40;нет;нет;нет;;"55.672755,37.807961; 55.672862,37.81124; 55.672923,37.813674; 55.672967,37.814578; 55.673014,37.815541; 55.672943,37.817105; 55.672852,37.818383; 55.672698,37.81959; 55.672407,37.820701; 55.672069,37.821759";1133017552;;
69;Дорожная улица;Южный административный округ;район Чертаново Южное;40;нет;нет;нет;;"55.577781,37.608658; 55.580762,37.611335";1133017553;;
70;проезд без названия;Южный административный округ;район Чертаново Северное;50;нет;нет;нет;;"55.633222,37.591751; 55.633504,37.592394; 55.633958,37.59301; 55.634423,37.593312; 55.635851,37.593867; 55.636324,37.594511; 55.637604,37.597172; 55.637814,37.598443; 55.637865,37.599438; 55.637685,37.602694";1133017554;;
71;Промышленная улица;Южный административный округ;район Царицыно;40;да;нет;нет;;"55.633885,37.642315; 55.633435,37.648705";1133017555;;
72;Артековская улица;Южный административный округ;Нагорный район;40;нет;нет;нет;;"55.649566,37.613298; 55.645477,37.613354";1133017556;;
73;Коломенский проезд;Южный административный округ;район Нагатино-Садовники;40;нет;нет;нет;;"55.665719,37.647799; 55.666474,37.652335; 55.666586,37.653266; 55.666808,37.655292; 55.667421,37.659129; 55.667746,37.66046#55.668522,37.660935; 55.668456,37.660832; 55.668353,37.660591; 55.668212,37.660145; 55.66808,37.65963; 55.667957,37.659098; 55.66785,37.658595; 55.66711,37.654296; 55.66704,37.653932; 55.666621,37.652257; 55.666357,37.650979; 55.66585,37.647883";1133017557;;
74;улица Архитектора Щусева;Южный административный округ;Даниловский район;30;нет;нет;нет;;"55.700476,37.636091; 55.698572,37.634812";1133017558;;
75;проезд без названия;Южный административный округ;Даниловский район;40;нет;нет;нет;;"55.68959,37.656151; 55.693415,37.662233";1133017559;;
76;улица Борисовские Пруды;Южный административный округ;[район Братеево, район Москворечье-Сабурово];40;нет;нет;нет;;"55.635827,37.703387; 55.635632,37.714375; 55.635448,37.719724; 55.635258,37.73181; 55.635632,37.73658; 55.638079,37.748149";1133017560;;
77;Шипиловская улица;Южный административный округ;район Орехово-Борисово Северное;40;нет;нет;нет;;"55.62156,37.727637; 55.621073,37.723807; 55.620118,37.717767";1133017561;;
78;Бесединское шоссе;Южный административный округ;район Братеево;40;нет;нет;нет;;"55.621874,37.762822; 55.622816,37.760682; 55.624482,37.757673";1133017562;;
79;Фруктовая улица;Южный административный округ;Нагорный район;40;нет;нет;нет;;"55.660894,37.610581; 55.659757,37.613507; 55.659679,37.613803; 55.659656,37.613995; 55.659699,37.619288";1133017563;;
80;Шипиловский проезд;Южный административный округ;[район Москворечье-Сабурово, район Орехово-Борисово Северное];40;нет;нет;нет;;"55.617414,37.694183; 55.619648,37.693685; 55.623136,37.693713; 55.623696,37.693484; 55.625982,37.691908; 55.626777,37.691783; 55.630244,37.69298; 55.631073,37.693445; 55.634727,37.695874; 55.635507,37.695859";1133017564;;
82;Битцевский проезд;Южный административный округ;район Чертаново Северное;40;нет;нет;нет;;"55.638751,37.589967; 55.633343,37.587995";1133017566;;
84;Голубинская улица;Юго-Западный административный округ;район Ясенево;40;нет;нет;нет;;"55.598178,37.529726; 55.596905,37.535583#55.597374,37.533464; 55.598207,37.529634";1133017568;;
85;Ясногорская улица;Юго-Западный административный округ;район Ясенево;40;нет;нет;нет;;"55.600823,37.531368; 55.605069,37.534244";1133017569;;
86;Новочерёмушкинская улица;Юго-Западный административный округ;Академический район;40;нет;нет;нет;;"55.685275,37.583372; 55.686259,37.584427";1133017570;;
87;улица Косыгина;Юго-Западный административный округ;Гагаринский район;40;нет;нет;нет;;"55.705984,37.555963; 55.705812,37.560056; 55.705819,37.560304; 55.705825,37.560516; 55.706202,37.563185#55.706384,37.562008; 55.706178,37.560516; 55.706164,37.560279; 55.70616,37.560068; 55.706244,37.557847; 55.706298,37.556829; 55.706385,37.554372";1133017571;;
89;улица Миклухо-Маклая;Юго-Западный административный округ;район Коньково;40;нет;нет;нет;;"55.638993,37.539787; 55.638002,37.543336#55.63825,37.542513; 55.639215,37.538982";1133017573;;
90;улица Кравченко;[Юго-Западный административный округ, Западный административный округ];[Ломоносовский район, район Проспект Вернадского];40;нет;нет;нет;;"55.676078,37.519153; 55.679581,37.512029#55.678749,37.513325; 55.678618,37.513561; 55.673951,37.523467";1133017574;;
91;Херсонская улица;Юго-Западный административный округ;район Черёмушки;40;нет;нет;нет;;"55.661098,37.564468; 55.661674,37.565025; 55.661838,37.565205; 55.661991,37.565405; 55.662131,37.565634; 55.662406,37.566205; 55.66265,37.566754; 55.662809,37.567173; 55.662952,37.567628; 55.663547,37.569688; 55.663675,37.570051; 55.66437,37.571699; 55.664522,37.57198; 55.664684,37.572215; 55.66487,37.572398; 55.665165,37.572608#55.663957,37.570708; 55.663664,37.570009; 55.663542,37.569678; 55.663335,37.568991; 55.66294,37.567582; 55.662808,37.567176; 55.662671,37.566802; 55.662413,37.566214; 55.662136,37.565641; 55.661991,37.5654; 55.661834,37.56519; 55.661675,37.565017; 55.661017,37.564382";1133017575;;
92;Новочерёмушкинская улица;Юго-Западный административный округ;район Черёмушки;40;нет;нет;нет;;"55.662901,37.561098; 55.660894,37.558942";1133017576;;
93;улица Василисы Кожиной;Западный административный округ;район Филёвский Парк;40;нет;нет;нет;;"55.733689,37.489717; 55.733764,37.489483; 55.733857,37.489298; 55.735234,37.488061";1133017577;;
94;Большая Филёвская улица;Западный административный округ;район Филёвский Парк;40;нет;нет;нет;;"55.750978,37.507731; 55.749133,37.501241";1133017578;;
95;Заречная улица;Западный административный округ;район Филёвский Парк;20;нет;нет;нет;;"55.751911,37.509912; 55.753002,37.508955; 55.753114,37.508934; 55.7532213,37.508952; 55.754413,37.509472";1133017579;;
96;Мещерский проспект;Западный административный округ;район Солнцево;20;нет;нет;нет;;"55.666241,37.421454; 55.675739,37.409831";1133017580;;
98;5-й Дачно-Мещерский проезд;Западный административный округ;район Солнцево;20;нет;нет;нет;;"55.670918,37.411053; 55.665408,37.417558";1133017582;;
99;6-й Дачно-Мещерский проезд;Западный административный округ;район Солнцево;20;нет;нет;нет;;"55.679239,37.4134; 55.672082,37.422081";1133017583;;
100;Варваринская улица;Западный административный округ;район Солнцево;20;нет;нет;нет;;"55.665927,37.414636; 55.669383,37.423585";1133017584;;
101;2-й Дачно-Мещерский проезд;Западный административный округ;район Солнцево;20;нет;нет;нет;;"55.66716,37.413626; 55.671015,37.423549";1133017585;;
102;3-й Дачно-Мещерский проезд;Западный административный округ;район Солнцево;20;нет;нет;нет;;"55.668031,37.411623; 55.67265,37.423587";1133017586;;
103;Московская улица;Западный административный округ;район Солнцево;20;нет;нет;нет;;"55.668831,37.409871; 55.673714,37.422512";1133017587;;
104;Палисадная улица;Западный административный округ;район Солнцево;20;нет;нет;нет;;"55.669703,37.407934; 55.675128,37.421949";1133017588;;
106;Прудовая улица;Западный административный округ;район Солнцево;20;нет;нет;нет;;"55.674207,37.411874; 55.674393,37.412252; 55.674698,37.412777; 55.675047,37.413336; 55.675733,37.41464; 55.67606,37.415387; 55.677379,37.419096; 55.677694,37.419909";1133017590;;
107;Воскресенская улица;Западный административный округ;район Солнцево;20;нет;нет;нет;;"55.674695,37.407784; 55.675699,37.409594; 55.675722,37.409666; 55.675734,37.409734; 55.675743,37.409823#55.676125,37.410714; 55.679129,37.418483; 55.679204,37.418624";1133017591;;
108;Наро-Фоминская улица;Западный административный округ;район Солнцево;20;нет;нет;нет;;"55.655266,37.385242; 55.655765,37.386313; 55.655898,37.386537; 55.656017,37.386761; 55.657266,37.390245";1133017592;;
109;Менделеевская улица;Западный административный округ;район Раменки;20;нет;нет;нет;;"55.701541,37.521898; 55.708195,37.533912";1133017593;;
110;улица Лебедева;Западный административный округ;район Раменки;20;нет;нет;нет;;"55.69788,37.528256; 55.704539,37.540269";1133017594;;
111;улица Академика Самарского;Западный административный округ;район Раменки;20;нет;нет;нет;;"55.705804,37.529706; 55.702181,37.535999";1133017595;;
112;улица Академика Хохлова;Западный административный округ;район Раменки;20;нет;нет;нет;;"55.708145,37.518961; 55.707988,37.519069; 55.707847,37.519293; 55.696296,37.539436";1133017596;;
113;улица Колмогорова;Западный административный округ;район Раменки;20;нет;нет;нет;;"55.706303,37.515626; 55.694245,37.53666";1133017597;;
114;улица Елены Колесовой;Западный административный округ;район Очаково-Матвеевское;20;нет;нет;нет;;"55.676707,37.453706; 55.67727,37.452167; 55.678317,37.449911";1133017598;;
115;улица Наташи Ковшовой;Западный административный округ;район Очаково-Матвеевское;40;нет;нет;нет;;"55.681046,37.449131; 55.682424,37.451583#55.682639,37.452005; 55.685677,37.457301";1133017599;;
116;Рассказовская улица;Западный административный округ;район Внуково;20;нет;нет;нет;;"55.615106,37.304841; 55.612889,37.308703";1133017600;;
117;Аэрофлотская улица;Западный административный округ;район Внуково;40;нет;нет;нет;;"55.612462,37.293322; 55.610328,37.289426";1133017601;;
118;3-я Рейсовая улица;Западный административный округ;район Внуково;40;нет;нет;нет;;"55.605347,37.297995; 55.605429,37.298253; 55.609154,37.304945";1133017602;;
119;Киевская улица;Западный административный округ;район Дорогомилово;40;нет;нет;нет;;"55.739947,37.536421; 55.737962,37.538339; 55.737862,37.538453; 55.737772,37.538608; 55.737609,37.538971; 55.737537,37.539456; 55.737469,37.542266; 55.737517,37.542596; 55.739536,37.550281; 55.74019,37.551866; 55.740697,37.553749; 55.740993,37.554253; 55.741693,37.554912; 55.742775,37.561975; 55.743069,37.563288";1133017603;;
120;2-й Брянский переулок;Западный административный округ;район Дорогомилово;40;нет;нет;нет;;"55.745568,37.565007; 55.744043,37.5641; 55.743831,37.563921; 55.74329,37.563535; 55.74321,37.563482; 55.74314,37.563408; 55.743075,37.563288";1133017604;;
121;Кутузовский переулок;Западный административный округ;район Дорогомилово;40;нет;нет;нет;;"55.742431,37.541897; 55.740658,37.544123";1133017605;;
122;Можайский переулок;Западный административный округ;район Дорогомилово;40;нет;нет;нет;;"55.741191,37.545595; 55.739034,37.548298";1133017606;;
123;улица Дунаевского;Западный административный округ;район Дорогомилово;40;нет;нет;нет;;"55.743578,37.544704; 55.739931,37.549265";1133017607;;
124;6-й Можайский переулок;Западный административный округ;район Дорогомилово;40;нет;нет;нет;;"55.742311,37.54837; 55.740425,37.550728";1133017608;;
126;улица Раевского;Западный административный округ;район Дорогомилово;40;нет;нет;нет;;"55.74605,37.551908; 55.744359,37.553387";1133017610;;
127;улица Можайский Вал;Западный административный округ;район Дорогомилово;40;нет;нет;нет;;"55.741706,37.554925; 55.744848,37.557344; 55.746265,37.558508";1133017611;;
128;Резервный проезд;Западный административный округ;район Дорогомилово;40;нет;нет;нет;;"55.73942,37.547832; 55.740417,37.550733; 55.74107,37.553016; 55.741543,37.554253; 55.741631,37.554564; 55.741694,37.554906";1133017612;;
130;Платовская улица;Западный административный округ;район Дорогомилово;40;нет;нет;нет;;"55.74435,37.553412; 55.744724,37.55726";1133017614;;
131;Брянская улица;Западный административный округ;район Дорогомилово;40;нет;нет;нет;;"55.744238,37.56421; 55.744701,37.557717; 55.744725,37.557287";1133017615;;
132;1-й Можайский тупик;Западный административный округ;район Дорогомилово;40;нет;нет;нет;;"55.744263,37.556969; 55.74393,37.558433";1133017616;;
133;улица Нижние Мнёвники;Западный административный округ;[район Крылатское, район Филёвский Парк];20;нет;нет;нет;;"55.749281,37.434844; 55.749301,37.435024; 55.749336,37.435133; 55.749736,37.435493";1133017617;;
134;улица Толбухина;Западный административный округ;Можайский район;40;нет;нет;нет;;"55.7231,37.400608; 55.722818,37.400796; 55.72273,37.400829; 55.716444,37.40195; 55.716162,37.402107";1133017618;;
135;улица Ращупкина;Западный административный округ;Можайский район;20;нет;нет;нет;;"55.725107,37.436434; 55.725264,37.438576; 55.725277,37.438863; 55.725235,37.44437";1133017619;;
136;Сафоновская улица;Западный административный округ;Можайский район;20;нет;нет;нет;;"55.722628,37.436671; 55.722884,37.439497; 55.722923,37.439802; 55.722983,37.440133; 55.723391,37.441742";1133017620;;
137;Менделеевская улица;Западный административный округ;район Раменки;20;нет;нет;нет;;"55.708293,37.533792; 55.701743,37.521965";1133017621;;
138;улица Лебедева;Западный административный округ;район Раменки;20;нет;нет;нет;;"55.704636,37.540134; 55.698037,37.528238";1133017622;;
139;улица Академика Самарского;Западный административный округ;район Раменки;20;нет;нет;нет;;"55.702278,37.536072; 55.705938,37.529721";1133017623;;
156;Ермолаевский переулок;Центральный административный округ;[Пресненский район, Тверской район];30;нет;нет;нет;;"55.766316,37.595992; 55.76635,37.595928; 55.766364,37.595844; 55.766408,37.595078; 55.766409,37.594944; 55.7664,37.594815; 55.766372,37.594678; 55.765222,37.591827#55.765205,37.591794; 55.764766,37.591136; 55.764715,37.591069; 55.764648,37.590998; 55.764005,37.590609; 55.763909,37.590545; 55.763853,37.590475; 55.762955,37.589052";1133017640;;
157;Вспольный переулок;Центральный административный округ;Пресненский район;30;нет;нет;нет;;"55.76294,37.589028; 55.762884,37.588949; 55.762816,37.588873; 55.76256,37.588658; 55.76244,37.588579; 55.759998,37.587125";1133017641;;
158;Благовещенский переулок;Центральный административный округ;[Пресненский район, Тверской район];30;нет;нет;нет;;"55.768102,37.599128; 55.767537,37.59812; 55.767478,37.598035; 55.76742,37.597972; 55.767336,37.597911; 55.767094,37.597811; 55.767047,37.597782; 55.76701,37.597731; 55.766317,37.595993";1133017642;;
159;аллея Архитектора Шехтеля;Центральный административный округ;Пресненский район;30;нет;нет;нет;;"55.765965,37.593633; 55.766816,37.592237";1133017643;;
160;Большой Козихинский переулок;Центральный административный округ;Пресненский район;30;нет;нет;нет;;"55.761533,37.599194; 55.763285,37.596615; 55.763657,37.596069; 55.763819,37.595865; 55.765948,37.593654";1133017644;;
